=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.05.02 13:36:26 =~=~=~=~=~=~=~=~=~=~=~=
R1=2.964306;R2=5.159392
R1=2.983067;R2=5.065586
R1=3.001828;R2=5.084347
R1=3.001828;R2=5.103108
R1=3.076874;R2=5.084347
R1=R1=3.902377;R2=4.727880
R1=3.958661;R2=4.784164
R1=3.902377;R2=4.821687
R1=3.864854;R2=4.802926
R1=3.921138;R2=4.765403
R1=3.883616;R2=4.765403
R1=3.921138;R2=4.746641
R1=3.977423;R2=4.802926
R1=3.883616;R2=4.821687
R1=3.883616;R2=4.746641
R1=3.939900;R2=4.784164
R1=3.958661;R2=4.840448
R1=3.883616;R2=4.784164
R1=3.939900;R2=4.784164
R1=3.977423;R2=4.727880
R1=3.958661;R2=4.709118
R1=3.883616;R2=4.727880
R1=3.864854;R2=4.727880
R1=3.883616;R2=4.784164
R1=3.902377;R2=4.765403
R1=3.827331;R2=4.727880
R1=3.658478;R2=4.746641
R1=3.714763;R2=4.746641
R1=3.677240;R2=4.765403
R1=3.583433;R2=4.784164
R1=3.883616;R2=4.746641
R1=3.771047;R2=4.765403
R1=3.902377;R2=4.746641
R1=3.677240;R2=4.802926
R1=3.620955;R2=4.765403
R1=4.127514;R2=4.840448
R1=3.602194;R2=4.840448
R1=3.714763;R2=4.784164
R1=3.602194;R2=4.802926
R1=3.602194;R2=4.765403
R1=3.602194;R2=4.784164
R1=3.583433;R2=4.765403
R1=3.639717;R2=4.840448
R1=3.639717;R2=4.765403
R1=3.639717;R2=4.784164
R1=3.639717;R2=4.784164
R1=3.658478;R2=4.765403
R1=3.677240;R2=4.802926
R1=3.620955;R2=4.802926
R1=3.639717;R2=4.784164
R1=3.583433;R2=4.802926
R1=3.620955;R2=4.765403
R1=3.639717;R2=4.821687
R1=3.658478;R2=4.746641
R1=3.620955;R2=4.859210
R1=3.658478;R2=4.765403
R1=3.658478;R2=4.802926
R1=3.658478;R2=4.727880
R1=3.639717;R2=4.727880
R1=3.620955;R2=4.821687
R1=3.620955;R2=4.784164
R1=3.602194;R2=4.727880
R1=3.602194;R2=4.765403
R1=3.677240;R2=4.802926
R1=3.639717;R2=4.784164
R1=3.620955;R2=4.709118
R1=3.658478;R2=4.784164
R1=3.639717;R2=4.784164
R1=3.602194;R2=4.746641
R1=3.658478;R2=4.765403
R1=3.696001;R2=4.802926
R1=3.677240;R2=4.765403
R1=3.714763;R2=4.765403
R1=3.658478;R2=4.765403
R1=3.677240;R2=4.784164
R1=3.620955;R2=4.784164
R1=3.602194;R2=4.727880
R1=3.620955;R2=4.746641
R1=3.564671;R2=4.784164
R1=3.620955;R2=4.765403
R1=3.602194;R2=4.690357
R1=3.658478;R2=4.802926
R1=3.583433;R2=4.746641
R1=3.658478;R2=4.727880
R1=3.620955;R2=4.784164
R1=3.602194;R2=4.784164
R1=3.620955;R2=4.802926
R1=3.583433;R2=4.784164
R1=3.602194;R2=4.709118
R1=3.639717;R2=4.765403
R1=3.677240;R2=4.784164
R1=3.620955;R2=4.784164
R1=3.620955;R2=4.746641
R1=3.639717;R2=4.784164
R1=3.658478;R2=4.784164
R1=3.658478;R2=4.765403
R1=3.620955;R2=4.746641
R1=3.658478;R2=4.802926
R1=3.639717;R2=4.784164
R1=3.620955;R2=4.746641
R1=3.639717;R2=4.765403
R1=3.696001;R2=4.784164
R1=3.620955;R2=4.727880
R1=3.639717;R2=4.765403
R1=3.677240;R2=4.746641
R1=3.602194;R2=4.709118
R1=3.620955;R2=4.727880
R1=3.564671;R2=4.727880
R1=3.658478;R2=4.784164
R1=3.639717;R2=4.784164
R1=3.602194;R2=4.802926
R1=3.602194;R2=4.802926
R1=3.620955;R2=4.802926
R1=3.658478;R2=4.802926
R1=3.639717;R2=4.784164
R1=3.639717;R2=4.840448
R1=3.658478;R2=4.802926
